layer,history_tokens,new_tokens,history_variant,item_variant,unique_history_tokens,unique_new_tokens,history_coverage_pct,new_coverage_pct,history_mib,all_mib,history_sha256,candidate_suffix_sha256,source_input_sha256
2,4096,512,0,2,3956,512,96.58203125,100.0,2.47491455078125,2.79522705078125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,c855cdb4ee88f893dee2cd7172325549ea24ae63bc0d3b9e74448291b81e960f,56182f766f12b1b0f9c966ba9e9909d101b84c4252391b39524c7f16c414ea27
0,4096,1024,0,0,4044,1024,98.73046875,100.0,2.52996826171875,3.17059326171875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,4d1a372119f5b737c613bc8291f818936d3f0935921b949db3f43b0836a4dbfb,8d4f6a9fee51f882694439bb3278c8fce5ae9ac4cdbc11786f2597d8483e6371
1,4096,1024,0,0,4017,1024,98.0712890625,100.0,2.5130767822265625,3.1537017822265625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,4d1a372119f5b737c613bc8291f818936d3f0935921b949db3f43b0836a4dbfb,8d4f6a9fee51f882694439bb3278c8fce5ae9ac4cdbc11786f2597d8483e6371
2,4096,1024,0,0,4063,1024,99.1943359375,100.0,2.5418548583984375,3.1824798583984375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,4d1a372119f5b737c613bc8291f818936d3f0935921b949db3f43b0836a4dbfb,8d4f6a9fee51f882694439bb3278c8fce5ae9ac4cdbc11786f2597d8483e6371
0,4096,1024,0,1,4050,1024,98.876953125,100.0,2.533721923828125,3.174346923828125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,5c9ee1e3d72cc73ee53cc8e22f5c38034bb6e2afcb002504b4902a7205a3b577,0d0c4004551b4ab36248ef6f41789c1a5243a3206eef798ac1c8b5d656add1ef
1,4096,1024,0,1,4018,1024,98.095703125,100.0,2.513702392578125,3.154327392578125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,5c9ee1e3d72cc73ee53cc8e22f5c38034bb6e2afcb002504b4902a7205a3b577,0d0c4004551b4ab36248ef6f41789c1a5243a3206eef798ac1c8b5d656add1ef
2,4096,1024,0,1,4066,1024,99.267578125,100.0,2.543731689453125,3.184356689453125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,5c9ee1e3d72cc73ee53cc8e22f5c38034bb6e2afcb002504b4902a7205a3b577,0d0c4004551b4ab36248ef6f41789c1a5243a3206eef798ac1c8b5d656add1ef
0,4096,1024,0,2,4052,1024,98.92578125,100.0,2.53497314453125,3.17559814453125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,80e649054065540274a45f7696df9c2444ccc81ba921f0a82c252733cf9c7da4,776374a51545a2fa6794972258a848594ef1a7b6763b7a09d6943a277cd57a8d
1,4096,1024,0,2,4007,1024,97.8271484375,100.0,2.5068206787109375,3.1474456787109375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,80e649054065540274a45f7696df9c2444ccc81ba921f0a82c252733cf9c7da4,776374a51545a2fa6794972258a848594ef1a7b6763b7a09d6943a277cd57a8d
2,4096,1024,0,2,4065,1024,99.2431640625,100.0,2.5431060791015625,3.1837310791015625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,80e649054065540274a45f7696df9c2444ccc81ba921f0a82c252733cf9c7da4,776374a51545a2fa6794972258a848594ef1a7b6763b7a09d6943a277cd57a8d
0,4096,2048,0,0,4041,2048,98.6572265625,100.0,2.5280914306640625,3.8093414306640625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,38c3963cc0fc887992bbf4eaa39f76df944b5121a6266e159a1e573a90510857,214c2ba4032ff5068a21f88f0d5fbdcb877f89a3f1dd2ba0c803efb8b4543ef4
1,4096,2048,0,0,4035,2048,98.5107421875,100.0,2.5243377685546875,3.8055877685546875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,38c3963cc0fc887992bbf4eaa39f76df944b5121a6266e159a1e573a90510857,214c2ba4032ff5068a21f88f0d5fbdcb877f89a3f1dd2ba0c803efb8b4543ef4
2,4096,2048,0,0,4087,2048,99.7802734375,100.0,2.5568695068359375,3.8381195068359375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,38c3963cc0fc887992bbf4eaa39f76df944b5121a6266e159a1e573a90510857,214c2ba4032ff5068a21f88f0d5fbdcb877f89a3f1dd2ba0c803efb8b4543ef4
0,4096,2048,0,1,4051,2048,98.9013671875,100.0,2.5343475341796875,3.8155975341796875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,601ec3c922c7c5103b900ce89856abcd4fed76836f0f45f142532f492fc0136c,11fb8e947f072f3ec0d66fa5a69d8b5344d3cd774c504dff0e2895f0fe6710d4
1,4096,2048,0,1,4038,2048,98.583984375,100.0,2.526214599609375,3.807464599609375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,601ec3c922c7c5103b900ce89856abcd4fed76836f0f45f142532f492fc0136c,11fb8e947f072f3ec0d66fa5a69d8b5344d3cd774c504dff0e2895f0fe6710d4
2,4096,2048,0,1,4087,2048,99.7802734375,100.0,2.5568695068359375,3.8381195068359375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,601ec3c922c7c5103b900ce89856abcd4fed76836f0f45f142532f492fc0136c,11fb8e947f072f3ec0d66fa5a69d8b5344d3cd774c504dff0e2895f0fe6710d4
0,4096,2048,0,2,4053,2048,98.9501953125,100.0,2.5355987548828125,3.8168487548828125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,83ed74face5a8a25e64aa17f589c2a3e608ddfbe876e2321168749ab3fa6f31b,00719b738b88d24134b3d4a78d42e8b393df51174e078bb916be4faff8dbbce8
1,4096,2048,0,2,4036,2048,98.53515625,100.0,2.52496337890625,3.80621337890625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,83ed74face5a8a25e64aa17f589c2a3e608ddfbe876e2321168749ab3fa6f31b,00719b738b88d24134b3d4a78d42e8b393df51174e078bb916be4faff8dbbce8
2,4096,2048,0,2,4088,2048,99.8046875,100.0,2.5574951171875,3.8387451171875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,83ed74face5a8a25e64aa17f589c2a3e608ddfbe876e2321168749ab3fa6f31b,00719b738b88d24134b3d4a78d42e8b393df51174e078bb916be4faff8dbbce8
0,4096,4096,0,0,4043,4096,98.7060546875,100.0,2.5293426513671875,5.0918426513671875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,3fcce29a2d9f9d7d84029dd54fa6650b2f30d13c358d3dea399a663eb39516d0,3fe71e30a0c99bf4b3db8f124b3549c33a1018c9aa663667a2aebdd3378c9c7f
